item,n_i
656,67
657,1662
658,2790
659,744
660,836
661,158
662,176
663,249
664,1400
665,467
666,77
667,164
668,433
669,289
670,1365
671,174
672,401
673,466
674,2027
675,674
676,2465
677,579
678,1036
679,187
680,936
681,952
682,208
683,115
684,117
685,3379
686,1540
687,714
688,517
689,2258
690,263
691,675
692,500
693,1469
694,478
695,256
696,510
697,296
698,815
699,221
700,1178
701,201
702,116
703,331
704,1732
705,359
706,386
707,179
708,1584
709,220
710,1784
711,1756
712,264
713,301
714,370
715,335
716,411
717,177
718,531
719,189
720,153
721,111
722,1272
723,37
724,989
725,718
726,446
727,595
728,2128
729,1040
730,1383
731,201
732,2713
733,1304
734,397
735,113
736,1483
737,406
738,1317
739,66
740,277
741,657
742,952
743,75
744,3825
745,782
746,279
747,380
748,165
749,149
750,146
751,585
752,191
753,340
754,460
755,3567
756,103
757,777
758,441
759,793
760,471
761,150
762,1505
763,77
764,338
765,142
766,413
767,3834
768,2254
769,1674
770,318
771,563
772,875
773,3266
774,222
775,243
776,90
777,598
778,30
779,2272
780,1019
781,2669
782,286
783,740
784,557
785,552
786,393
787,1322
788,124
789,2
790,455
791,265
792,207
793,1769
794,814
795,844
796,30
797,140
798,613
799,405
800,708
801,47
802,91
803,271
804,26
805,1062
806,452
807,124
808,3176
809,1759
810,338
811,512
812,419
813,193
814,579
815,278
816,727
817,535
818,75
819,629
820,112
821,16
822,370
823,217
824,395
825,650
826,2535
827,2104
828,84
829,130
830,97
831,390
832,1332
833,917
834,159
835,1732
836,417
837,138
838,482
839,62
840,3443
841,170
842,323
843,120
844,1652
845,64
846,39
847,153
848,630
849,693
850,316
851,376
852,66
853,323
854,114
855,331
856,1822
857,982
858,65
859,168
860,417
861,70
862,3790
863,161
864,568
865,687
866,194
867,347
868,874
869,970
870,830
871,83
872,111
873,187
874,152
875,264
876,1030
877,440
878,467
879,1925
880,2159
881,345
882,558
883,481
884,134
885,418
886,2187
887,128
888,231
889,366
890,585
891,82
892,1040
893,689
894,427
895,260
896,805
897,1774
898,54
899,364
900,522
901,100
902,553
903,577
904,1549
905,157
906,674
907,3993
908,958
909,349
910,1314
911,117
912,483
913,101
914,56
915,141
916,674
917,460
918,318
919,329
920,242
921,109
922,250
923,1483
924,540
925,310
926,1389
927,365
928,553
929,2726
930,110
931,135
932,1143
933,370
934,38
935,765
936,343
937,510
938,454
939,1046
940,226
941,187
942,1157
943,260
944,1075
945,105
946,104
947,462
948,1024
949,765
950,8
951,143
952,849
953,1397
954,141
955,510
956,58
957,123
958,291
959,740
960,194
961,259
962,770
963,353
964,99
965,1546
966,18
967,446
968,1370
969,313
970,245
971,1432
972,146
973,2005
974,2315
975,478
976,319
977,365
978,126
979,349
980,357
981,5
982,150
983,35
984,877
985,322
986,56
987,1530
988,646
989,975
990,153
991,185
992,55
993,185
994,54
995,72
996,382
997,345
998,947
999,40
1000,138
1001,652
1002,113
1003,174
1004,300
1005,82
1006,391
1007,196
1008,96
1009,1501
1010,16
1011,1421
1012,415
1013,322
1014,374
1015,145
1016,117
1017,99
1018,200
1019,372
1020,620
1021,1156
1022,4332
1023,397
1024,461
1025,551
1026,1933
1027,646
1028,1258
1029,527
1030,211
1031,595
1032,471
1033,39
1034,243
1035,53
1036,872
1037,491
1038,110
1039,89
1040,174
1041,604
1042,946
1043,1421
1044,234
1045,224
1046,48
1047,300
1048,101
1049,95
1050,239
1051,145
1052,221
1053,217
1054,933
1055,943
1056,31
1057,162
1058,261
1059,648
1060,611
1061,506
1062,661
1063,124
1064,2861
1065,147
1066,407
1067,1807
1068,145
1069,264
1070,170
1071,37
1072,637
1073,56
1074,197
1075,40
1076,38
1077,386
1078,457
1079,89
1080,162
1081,378
1082,69
1083,262
1084,338
1085,55
1086,659
1087,184
1088,17
1089,13
1090,170
1091,271
1092,157
1093,1452
1094,73
1095,432
1096,573
1097,156
1098,440
1099,251
1100,622
1101,1004
1102,590
1103,25
1104,575
1105,393
1106,1108
1107,375
1108,477
1109,253
1110,858
1111,28
1112,61
1113,882
1114,519
1115,36
1116,448
1117,88
1118,403
1119,566
1120,478
1121,340
1122,1454
1123,193
1124,194
1125,873
1126,416
1127,1142
1128,1130
1129,304
1130,672
1131,1216
1132,305
1133,56
1134,453
1135,32
1136,75
1137,338
1138,465
1139,304
1140,60
1141,105
1142,208
1143,185
1144,169
1145,564
1146,843
1147,477
1148,890
1149,765
1150,82
1151,1192
1152,715
1153,293
1154,421
1155,920
1156,1154
1157,666
1158,523
1159,342
1160,534
1161,69
1162,1914
1163,204
1164,425
1165,107
1166,3134
1167,384
1168,58
1169,566
1170,271
1171,289
1172,350
1173,1296
1174,200
1175,4032
1176,141
1177,2316
1178,304
1179,2200
1180,68
1181,373
1182,802
1183,620
1184,78
1185,199
1186,82
1187,612
1188,370
1189,47
1190,208
1191,1532
1192,1290
1193,794
1194,390
1195,128
